PopName,Area,Year,YearReg,Age,AgeInt,Lexis,BirthOrder,OrderInt,PrevBirth,DurInt,Vital,Births,Access,Note1,Note2,Note3,RefCode,LDB
SWE,1,1796,1796,TOT,.,.,TOT,.,.,.,2,80308,O,.,.,.,11,0
SWE,1,1797,1797,19,-,RR,TOT,.,.,.,2,2128,O,.,.,.,11,0
SWE,1,1797,1797,20,5,RR,TOT,.,.,.,2,11946,O,.,.,.,11,0
SWE,1,1797,1797,25,5,RR,TOT,.,.,.,2,20146,O,.,.,.,11,0
SWE,1,1797,1797,30,5,RR,TOT,.,.,.,2,21608,O,.,.,.,11,0
SWE,1,1797,1797,35,5,RR,TOT,.,.,.,2,15430,O,.,.,.,11,0
SWE,1,1797,1797,40,5,RR,TOT,.,.,.,2,7748,O,.,.,.,11,0
SWE,1,1797,1797,45,5,RR,TOT,.,.,.,2,1425,O,.,.,.,11,0
SWE,1,1797,1797,50,+,RR,TOT,.,.,.,2,18,O,.,.,.,11,0
SWE,1,1797,1797,UNK,.,.,TOT,.,.,.,2,834,O,.,.,.,11,0
SWE,1,1797,1797,TOT,.,.,TOT,.,.,.,2,81283,O,.,.,.,11,0
SWE,1,1798,1798,19,-,RR,TOT,.,.,.,2,2065,O,.,.,.,11,0
SWE,1,1798,1798,20,5,RR,TOT,.,.,.,2,11700,O,.,.,.,11,0
SWE,1,1798,1798,25,5,RR,TOT,.,.,.,2,18672,O,.,.,.,11,0
SWE,1,1798,1798,30,5,RR,TOT,.,.,.,2,20409,O,.,.,.,11,0
SWE,1,1798,1798,35,5,RR,TOT,.,.,.,2,15225,O,.,.,.,11,0
SWE,1,1798,1798,40,5,RR,TOT,.,.,.,2,7206,O,.,.,.,11,0
SWE,1,1798,1798,45,5,RR,TOT,.,.,.,2,1493,O,.,.,.,11,0
SWE,1,1798,1798,50,+,RR,TOT,.,.,.,2,18,O,.,.,.,11,0
SWE,1,1798,1798,UNK,.,.,TOT,.,.,.,2,2691,O,.,.,.,11,0
SWE,1,1798,1798,TOT,.,.,TOT,.,.,.,2,79479,O,.,.,.,11,0
SWE,1,1799,1799,19,-,RR,TOT,.,.,.,2,2021,O,.,.,.,11,0
SWE,1,1799,1799,20,5,RR,TOT,.,.,.,2,11843,O,.,.,.,11,0
SWE,1,1799,1799,25,5,RR,TOT,.,.,.,2,18150,O,.,.,.,11,0
SWE,1,1799,1799,30,5,RR,TOT,.,.,.,2,19557,O,.,.,.,11,0
SWE,1,1799,1799,35,5,RR,TOT,.,.,.,2,14645,O,.,.,.,11,0
SWE,1,1799,1799,40,5,RR,TOT,.,.,.,2,7087,O,.,.,.,11,0
SWE,1,1799,1799,45,5,RR,TOT,.,.,.,2,1396,O,.,.,.,11,0
SWE,1,1799,1799,50,+,RR,TOT,.,.,.,2,20,O,.,.,.,11,0
SWE,1,1799,1799,UNK,.,.,TOT,.,.,.,2,1364,O,.,.,.,11,0
SWE,1,1799,1799,TOT,.,.,TOT,.,.,.,2,76083,O,.,.,.,11,0
SWE,1,1800,1800,19,-,RR,TOT,.,.,.,2,1705,O,.,.,.,11,0
SWE,1,1800,1800,20,5,RR,TOT,.,.,.,2,10623,O,.,.,.,11,0
SWE,1,1800,1800,25,5,RR,TOT,.,.,.,2,16660,O,.,.,.,11,0
SWE,1,1800,1800,30,5,RR,TOT,.,.,.,2,17552,O,.,.,.,11,0
SWE,1,1800,1800,35,5,RR,TOT,.,.,.,2,13023,O,.,.,.,11,0
SWE,1,1800,1800,40,5,RR,TOT,.,.,.,2,6110,O,.,.,.,11,0
SWE,1,1800,1800,45,5,RR,TOT,.,.,.,2,1210,O,.,.,.,11,0
SWE,1,1800,1800,50,+,RR,TOT,.,.,.,2,14,O,.,.,.,11,0
SWE,1,1800,1800,UNK,.,.,TOT,.,.,.,2,1343,O,.,.,.,11,0
SWE,1,1800,1800,TOT,.,.,TOT,.,.,.,2,68240,O,.,.,.,11,0
SWE,1,1801,1801,19,-,RR,TOT,.,.,.,2,1646,O,.,.,.,11,0
SWE,1,1801,1801,20,5,RR,TOT,.,.,.,2,11252,O,.,.,.,11,0
SWE,1,1801,1801,25,5,RR,TOT,.,.,.,2,17485,O,.,.,.,11,0
SWE,1,1801,1801,30,5,RR,TOT,.,.,.,2,18384,O,.,.,.,11,0
SWE,1,1801,1801,35,5,RR,TOT,.,.,.,2,13647,O,.,.,.,11,0
SWE,1,1801,1801,40,5,RR,TOT,.,.,.,2,6344,O,.,.,.,11,0
SWE,1,1801,1801,45,5,RR,TOT,.,.,.,2,1169,O,.,.,.,11,0
SWE,1,1801,1801,50,+,RR,TOT,.,.,.,2,21,O,.,.,.,11,0
SWE,1,1801,1801,UNK,.,.,TOT,.,.,.,2,1275,O,.,.,.,11,0
SWE,1,1801,1801,TOT,.,.,TOT,.,.,.,2,71223,O,.,.,.,11,0
SWE,1,1802,1802,19,-,RR,TOT,.,.,.,2,2065,O,.,.,.,11,0
SWE,1,1802,1802,20,5,RR,TOT,.,.,.,2,11912,O,.,.,.,11,0
SWE,1,1802,1802,25,5,RR,TOT,.,.,.,2,18674,O,.,.,.,11,0
SWE,1,1802,1802,30,5,RR,TOT,.,.,.,2,19178,O,.,.,.,11,0
SWE,1,1802,1802,35,5,RR,TOT,.,.,.,2,14906,O,.,.,.,11,0
SWE,1,1802,1802,40,5,RR,TOT,.,.,.,2,7338,O,.,.,.,11,0
SWE,1,1802,1802,45,5,RR,TOT,.,.,.,2,1517,O,.,.,.,11,0
SWE,1,1802,1802,50,+,RR,TOT,.,.,.,2,32,O,.,.,.,11,0
SWE,1,1802,1802,UNK,.,.,TOT,.,.,.,2,0,O,.,.,.,11,0
SWE,1,1802,1802,TOT,.,.,TOT,.,.,.,2,75622,O,.,.,.,11,0
SWE,1,1803,1803,19,-,RR,TOT,.,.,.,2,1738,O,.,.,.,11,0
SWE,1,1803,1803,20,5,RR,TOT,.,.,.,2,12000,O,.,.,.,11,0
SWE,1,1803,1803,25,5,RR,TOT,.,.,.,2,19126,O,.,.,.,11,0
SWE,1,1803,1803,30,5,RR,TOT,.,.,.,2,18615,O,.,.,.,11,0
SWE,1,1803,1803,35,5,RR,TOT,.,.,.,2,14524,O,.,.,.,11,0
SWE,1,1803,1803,40,5,RR,TOT,.,.,.,2,7357,O,.,.,.,11,0
SWE,1,1803,1803,45,5,RR,TOT,.,.,.,2,1338,O,.,.,.,11,0
SWE,1,1803,1803,50,+,RR,TOT,.,.,.,2,61,O,.,.,.,11,0
SWE,1,1803,1803,UNK,.,.,TOT,.,.,.,2,535,O,.,.,.,11,0
SWE,1,1803,1803,TOT,.,.,TOT,.,.,.,2,75294,O,.,.,.,11,0
SWE,1,1804,1804,19,-,RR,TOT,.,.,.,2,1877,O,.,.,.,11,0
SWE,1,1804,1804,20,5,RR,TOT,.,.,.,2,12406,O,.,.,.,11,0
